,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
223,Spotlight,I) (,129 min,8.1,93        ,"439,315",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
224,Song of the Sea,2014,93 min,8.1,85        ,"54,848",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
225,Kahaani,2012,122 min,8.1,,"60,018",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
226,Lần Theo Dấu Vết,2013,153 min,8.1,70        ,"631,427",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
227,Max Điên: Con Đường Tử Thần,2015,120 min,8.1,90        ,"920,645",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
228,Warrior,2011,140 min,8.1,71        ,"447,883",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
229,A Wednesday,2008,104 min,8.1,,"76,017",,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
230,Liên Minh Công Lý - Phiên bản của Zack Snyder,2021,242 min,8.1,54        ,"327,442",,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
231,Gran Torino,2008,116 min,8.1,72        ,"738,506",$148.10M,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
232,Harry Potter và Bảo Bối Tử Thần: Phần 2,2011,130 min,8.1,85        ,"797,274",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
233,Okuribito,2008,130 min,8.1,68        ,"50,104",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
234,Hachi: A Dog's Tale,2009,93 min,8.1,,"264,838",,A college professor bonds with an abandoned dog he takes into his home.
235,Mary Và Max,2009,92 min,8.1,,"169,614",,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
236,Bí Kíp Luyện Rồng,2010,98 min,8.1,75        ,"690,002",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
237,Into the Wild,2007,148 min,8.1,73        ,"591,443",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
238,Không Chốn Dung Thân,2007,122 min,8.1,91        ,"894,379",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
239,Chiến Binh Tự Do,2005,132 min,8.1,62        ,"1,061,694",$70.51M,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
240,Dare mo shiranai,2004,141 min,8.1,88        ,"26,166",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
241,Rang De Basanti,2006,167 min,8.1,,"115,994",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
242,Million Dollar Baby,2004,132 min,8.1,86        ,"654,672",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.
243,Hotel Rwanda,2004,121 min,8.1,79        ,"342,312",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
244,Before Sunset,2004,80 min,8.1,90        ,"246,386",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
245,Munna Bhai M.B.B.S.,2003,156 min,8.1,,"77,267",,A gangster sets out to fulfill his father's dream of becoming a doctor.
246,Salinui chueok,2003,131 min,8.1,82        ,"155,501",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
247,Dil Chahta Hai,2001,183 min,8.1,,"69,244",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
248,Giết Bill Phần 1,2003,111 min,8.1,69        ,"1,039,687",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
249,Đi Tìm Nemo,2003,100 min,8.1,90        ,"979,278",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
250,Hãy Bắt Tôi Nếu Có Thể,2002,141 min,8.1,75        ,"877,100",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
251,Amores perros,2000,154 min,8.1,83        ,"231,220",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
252,Công Ty Quái Vật,2001,92 min,8.1,79        ,"846,188",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
253,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,8.1,,"44,868",,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
254,Lagaan: Once Upon a Time in India,2001,224 min,8.1,84        ,"108,818",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
255,Giác Quan Thứ Sáu,1999,107 min,8.1,64        ,"938,241",$293.51M,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
256,Festen,1998,105 min,8.1,82        ,"82,974",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
257,La leggenda del pianista sull'oceano,1998,169 min,8.1,58        ,"61,216",$0.26M,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
258,The Truman Show,1998,103 min,8.1,90        ,"982,030",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
259,"Crna macka, beli macor",1998,127 min,8.1,73        ,"52,245",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
260,Bá Tước Lebowski,1998,117 min,8.1,71        ,"761,442",$17.50M,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
261,Tâm trạng khi yêu,2000,98 min,8.1,85        ,"134,754",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
262,Trainspotting,1996,93 min,8.1,83        ,"653,154",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
263,Fargo,1996,98 min,8.1,85        ,"640,211",$24.61M,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
264,Underground,1995,170 min,8.1,79        ,"56,751",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
265,La haine,1995,98 min,8.1,,"158,685",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
266,Dilwale Dulhania Le Jayenge,1995,189 min,8.1,,"66,042",,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
267,Before Sunrise,1995,101 min,8.1,77        ,"284,768",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
268,Trois couleurs: Rouge,1994,99 min,8.1,100        ,"96,927",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
269,Trùng Khánh Sâm Lâm,1994,102 min,8.1,78        ,"70,367",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
270,Andaz Apna Apna,1994,160 min,8.1,,"51,498",,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
271,Công Viên Kỷ Jura,1993,127 min,8.1,68        ,"902,621",$402.45M,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
272,In the Name of the Father,1993,133 min,8.1,84        ,"164,767",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
273,Bá Vương Biệt Cơ,1993,171 min,8.1,83        ,"26,452",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
274,Đèn Lồng Đỏ Treo Cao,1991,125 min,8.1,,"31,000",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
275,Dead Poets Society,1989,128 min,8.1,79        ,"445,721",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
276,The Princess Bride,1987,98 min,8.1,77        ,"406,049",$30.86M,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
277,Stand by Me,1986,89 min,8.1,75        ,"378,199",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
278,Platoon,1986,120 min,8.1,92        ,"393,557",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
279,"Paris, Texas",1984,145 min,8.1,78        ,"97,972",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
280,Kaze no tani no Naushika,1984,117 min,8.1,86        ,"158,675",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
281,Quái Vật Biến Hình,1982,109 min,8.1,57        ,"388,046",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
282,Fitzcarraldo,1982,158 min,8.1,,"33,144",,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
283,Fanny och Alexander,1982,188 min,8.1,100        ,"60,226",$4.97M,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
284,Tội Phạm Nhân Bản,1982,117 min,8.1,84        ,"717,511",$32.87M,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
285,The Elephant Man,1980,124 min,8.1,78        ,"229,270",,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
286,Stalker,1979,162 min,8.1,,"124,980",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
287,Life of Brian,1979,94 min,8.1,77        ,"379,775",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
288,The Deer Hunter,1978,183 min,8.1,86        ,"322,947",$48.98M,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
289,Rocky,1976,120 min,8.1,70        ,"536,841",$117.24M,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.
290,Network,1976,121 min,8.1,83        ,"151,505",,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
291,Barry Lyndon,1975,185 min,8.1,89        ,"156,985",,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
292,Zerkalo,1975,107 min,8.1,80        ,"42,808",$0.18M,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
293,Paper Moon,1973,102 min,8.1,77        ,"44,321",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
294,Viskningar och rop,1972,91 min,8.1,,"31,957",$1.74M,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
295,Solaris,1972,167 min,8.1,90        ,"86,087",,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
296,Le samouraï,1967,105 min,8.1,,"48,031",$0.04M,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
297,Cool Hand Luke,1967,127 min,8.1,92        ,"169,134",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
298,Persona,1966,85 min,8.1,86        ,"109,576",,A nurse is put in charge of a mute actress and finds that their personae are melding together.
299,Andrei Rublev,1966,205 min,8.1,,"50,307",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
300,La battaglia di Algeri,1966,121 min,8.1,96        ,"56,307",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
301,El ángel exterminador,1962,95 min,8.1,,"31,558",,The guests at an upper-class dinner party find themselves unable to leave.
302,Dieu Gi Da Xay Ra Voi Baby Jane?,1962,134 min,8.1,75        ,"52,498",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.
303,Sanjuro,1962,96 min,8.1,,"36,290",,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
304,The Man Who Shot Liberty Valance,1962,123 min,8.1,94        ,"72,054",,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
305,Ivanovo detstvo,1962,95 min,8.1,,"33,906",,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
306,Jungfrukällan,1960,89 min,8.1,,"27,873",$1.53M,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
307,Inherit the Wind,1960,128 min,8.1,75        ,"28,808",,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution."
308,Les quatre cents coups,1959,99 min,8.1,,"110,567",,"A young boy, left without attention, delves into a life of petty crime."
309,Ben-Hur,1959,212 min,8.1,90        ,"227,538",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
310,Kakushi-toride no san-akunin,1958,139 min,8.1,,"36,904",,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
311,Le notti di Cabiria,1957,110 min,8.1,,"45,423",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
312,Kumonosu-jô,1957,110 min,8.1,,"49,286",,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
313,The Bridge on the River Kwai,1957,161 min,8.1,87        ,"210,179",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
314,Du rififi chez les hommes,1955,118 min,8.1,97        ,"32,066",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
315,On the Waterfront,1954,108 min,8.1,91        ,"147,578",$9.60M,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
316,Les diaboliques,1955,117 min,8.1,,"63,653",,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
317,Le salaire de la peur,1953,131 min,8.1,85        ,"57,694",,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
318,Ace in the Hole,1951,111 min,8.1,72        ,"33,530",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
319,White Heat,1949,114 min,8.1,,"31,250",,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
320,The Third Man,1949,104 min,8.1,97        ,"164,328",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
321,The Red Shoes,1948,135 min,8.1,,"32,740",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
322,The Best Years of Our Lives,1946,170 min,8.1,93        ,"60,748",$23.65M,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
323,The Shop Around the Corner,1940,99 min,8.1,96        ,"29,915",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
324,Rebecca,1940,130 min,8.1,86        ,"130,313",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
325,The Grapes of Wrath,1940,129 min,8.1,96        ,"89,200",$0.06M,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
326,Mr. Smith Goes to Washington,1939,129 min,8.1,73        ,"110,783",$9.60M,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
327,Cuốn Theo Chiều Gió,1939,238 min,8.1,97        ,"300,149",$198.68M,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
328,La Grande Illusion,1937,113 min,8.1,,"35,153",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
329,It Happened One Night,1934,105 min,8.1,87        ,"98,194",$4.36M,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
330,All Quiet on the Western Front,1930,152 min,8.1,91        ,"59,137",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
331,La passion de Jeanne d'Arc,1928,110 min,8.1,,"50,829",$0.02M,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
332,Rạp Xiếc,1928,72 min,8.1,90        ,"31,943",,The Tramp finds work and the girl of his dreams at a circus.
333,Sunrise: A Song of Two Humans,1927,94 min,8.1,,"49,110",$0.54M,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme."
334,The General,1926,67 min,8.1,,"86,162",$1.03M,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
335,Das Cabinet des Dr. Caligari,1920,76 min,8.1,,"59,950",,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
336,Badhaai ho,2018,124 min,8.0,,"30,597",,A man is embarrassed when he finds out his mother is pregnant.
337,Togo,2019,113 min,8.0,69        ,"42,366",,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
338,Airlift,2016,130 min,8.0,,"54,639",,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
339,Bajrangi Bhaijaan,2015,163 min,8.0,,"80,243",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
340,Baby,I) (,159 min,8.0,,"54,867",,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
341,Những Kẻ Khờ Mộng Mơ,2016,128 min,8.0,94        ,"532,783",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
342,Lion,2016,118 min,8.0,69        ,"223,331",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
343,Người Về Từ Sao Hỏa,2015,144 min,8.0,80        ,"790,162",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
344,Phi Vụ Động Trời,2016,108 min,8.0,78        ,"455,117",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
345,Bãhubali: The Beginning,2015,159 min,8.0,,"107,814",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
346,Kaguya-hime no monogatari,2013,137 min,8.0,89        ,"41,954",$1.51M,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
347,Điều Kỳ Diệu,I) (,113 min,8.0,66        ,"151,599",$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
348,Gully Boy,2019,154 min,8.0,65        ,"35,213",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
349,Special Chabbis,2013,144 min,8.0,,"53,303",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
350,Short Term 12,2013,96 min,8.0,82        ,"84,549",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
351,Serbuan maut 2: Berandal,2014,150 min,8.0,71        ,"117,985",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
352,The Imitation Game,2014,114 min,8.0,71        ,"712,776",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
353,Vệ Binh Giải Ngân Hà,2014,121 min,8.0,76        ,"1,085,549",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
354,Tội Phạm Nhân Bản 2049,2017,164 min,8.0,81        ,"492,658",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
355,Her,2013,126 min,8.0,91        ,"563,870",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
356,Người Về Từ Cõi Chết,2015,156 min,8.0,76        ,"736,364",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
357,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,8.0,71        ,"80,870",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
358,The King's Speech,2010,118 min,8.0,88        ,"654,477",$138.80M,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
359,The Help,2011,146 min,8.0,62        ,"438,194",$169.71M,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
360,Deadpool,2016,108 min,8.0,65        ,"941,270",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
361,Darbareye Elly,2009,119 min,8.0,87        ,"49,532",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
362,Dev.D,2009,144 min,8.0,,"29,694",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
363,Diệp Vấn,2008,106 min,8.0,59        ,"216,320",,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
364,Tên tôi là Khan,2010,165 min,8.0,50        ,"102,194",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
365,Vals Im Bashir,2008,90 min,8.0,91        ,"56,433",$2.28M,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
366,Nefes: Vatan Sagolsun,2009,128 min,8.0,,"32,674",,Story of 40-man Turkish task force who must defend a relay station.
367,Triệu Phú Ổ Chuột,2008,120 min,8.0,84        ,"815,711",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
368,Thiên Nga Đen,2010,108 min,8.0,79        ,"720,394",$106.95M,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
369,Tropa de Elite,2007,115 min,8.0,33        ,"100,386",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
370,Biệt Đội Siêu Anh Hùng,2012,143 min,8.0,69        ,"1,301,460",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
371,Persepolis,2007,96 min,8.0,90        ,"91,269",$4.45M,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
372,Dallas Buyers Club,2013,117 min,8.0,79        ,"458,427",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
373,Lage Raho Munna Bhai,2006,144 min,8.0,,"44,923",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
374,The Pursuit of Happyness,2006,117 min,8.0,64        ,"469,403",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
375,Kim Cuong Mau,2006,143 min,8.0,64        ,"516,006",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
376,The Bourne Ultimatum,2007,115 min,8.0,85        ,"614,982",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
377,Bin-jip,2004,88 min,8.0,72        ,"52,676",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
378,Thành Phố Tội Ác,2005,124 min,8.0,74        ,"748,212",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
379,Le scaphandre et le papillon,2007,112 min,8.0,92        ,"105,369",$5.99M,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
380,Taegukgi hwinalrimyeo,2004,140 min,8.0,64        ,"38,697",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
381,G.O.R.A.,2004,127 min,8.0,,"59,401",,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
382,Chú Chuột Đầu Bếp,2007,111 min,8.0,96        ,"665,997",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
383,Sòng Bạc Hoàng Gia,2006,144 min,8.0,80        ,"597,600",$167.45M,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
384,Kill Bill: Vol. 2,2004,137 min,8.0,83        ,"709,697",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
