,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
707,Wait Until Dark,1967,108 min,7.8,81        ,"29,027",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
708,Guess Who's Coming to Dinner,1967,108 min,7.8,63        ,"41,807",$56.70M,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.
709,Bonnie and Clyde,1967,111 min,7.8,86        ,"107,669",,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
710,Les parapluies de Cherbourg,1964,91 min,7.8,86        ,"25,355",$0.03M,A young woman separated from her lover by war faces a life-altering decision.
711,My Fair Lady,1964,170 min,7.8,95        ,"90,184",$72.00M,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.
712,Mary Poppins,1964,139 min,7.8,88        ,"162,859",$102.27M,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
713,The Longest Day,1962,178 min,7.8,75        ,"53,692",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
714,Jules et Jim,1962,105 min,7.8,97        ,"39,360",,Decades of a love triangle concerning two friends and an impulsive woman.
715,The Innocents,1961,100 min,7.8,88        ,"28,335",$2.62M,A young governess for two children becomes convinced that the house and grounds are haunted.
716,À bout de souffle,1960,90 min,7.8,,"76,435",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
717,The Quiet Man,1952,129 min,7.8,,"36,439",$10.55M,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
